epoch;loss;val_loss
0;0.01127987326396432;0.010668145059652346
1;0.009823480455828173;0.010341080599147725
2;0.00944915256986166;0.010611802403193565
3;0.009259354469322814;0.010826416146412858
4;0.008939697598028446;0.011512899053092213
5;0.008692733989869143;0.010910413085546461
6;0.008356758615288493;0.010706698313899232
7;0.008070088271833944;0.011208507445594894
8;0.007844839128629408;0.010898578369367886
9;0.00746564596816457;0.011758669033889554
0;0.010776147375391886;0.010361422220825776
1;0.00953751927235695;0.01150365472097747
2;0.00914754561266122;0.010467300810168164
3;0.00882185747768538;0.010938595027837799
4;0.008391782643632172;0.011501971918476142
5;0.008026829038835606;0.013299377007801618
6;0.007573786182467168;0.011509041491956173
7;0.0072980095240451955;0.012048755301481426
8;0.0068229606478100975;0.011958685078048467
9;0.006392671426328002;0.012322269133718013
0;0.017014719214329784;0.01791872675806803
1;0.013152984808193602;0.021671308234275276
2;0.011417102508295576;0.020425921975052094
3;0.01024424546795843;0.01946284247995696
4;0.009194961916294092;0.020819138807380955
5;0.008228628391448849;0.023205997836816636
6;0.007361001276750016;0.021542962761429744
7;0.006616362527928019;0.021679675062073064
8;0.005921811393067977;0.019725440475627725
9;0.005264279121775645;0.020975906968932586
